,transit_timestamp,station_complex_id,station_complex,borough,routes,payment_method,ridership,transfers,latitude,longitude,georeference
981,2023-01-12T17:00:00.000,H007,1 Av (L),M,L,all,1596.0,35.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
982,2023-01-21T19:00:00.000,R170,103 St (1),M,1,all,477.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
983,2023-01-21T03:00:00.000,H007,1 Av (L),M,L,all,1.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
984,2023-01-30T08:00:00.000,R170,103 St (1),M,1,all,896.0,10.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
985,2023-01-03T15:00:00.000,R252,103 St (6),M,6,all,931.0,5.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
986,2023-01-15T10:00:00.000,H007,1 Av (L),M,L,all,1.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
987,2023-01-04T02:00:00.000,H007,1 Av (L),M,L,all,22.0,0.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
988,2023-01-09T09:00:00.000,R170,103 St (1),M,1,all,546.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
989,2023-01-13T08:00:00.000,H007,1 Av (L),M,L,all,1152.0,27.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
990,2023-01-23T16:00:00.000,H007,1 Av (L),M,L,all,1368.0,35.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
991,2023-01-08T08:00:00.000,R170,103 St (1),M,1,all,159.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
992,2023-01-10T17:00:00.000,R170,103 St (1),M,1,all,673.0,7.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
993,2023-01-20T11:00:00.000,R170,103 St (1),M,1,all,438.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
994,2023-01-24T09:00:00.000,H007,1 Av (L),M,L,all,1329.0,14.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
995,2023-01-02T07:00:00.000,R252,103 St (6),M,6,all,209.0,0.0,40.7906,-73.94748,"{'type': 'Point', 'coordinates': [-73.94748, 40.7906]}"
996,2023-01-26T20:00:00.000,H007,1 Av (L),M,L,all,909.0,5.0,40.730953,-73.98163,"{'type': 'Point', 'coordinates': [-73.98163, 40.730953]}"
997,2023-01-15T08:00:00.000,R170,103 St (1),M,1,all,139.0,1.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
998,2023-01-26T22:00:00.000,R170,103 St (1),M,1,all,216.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
999,2023-01-17T04:00:00.000,R170,103 St (1),M,1,all,14.0,0.0,40.799446,-73.968376,"{'type': 'Point', 'coordinates': [-73.968376, 40.799446]}"
